기업명,평균 학점,평균 토익점수,평균 토익스피킹 점수,평균 오픽점수,평균 외국어 개수,평균 자격증 개수,평균 해외경험 횟수,평균 인턴경험 횟수,평균 수상 횟수,평균 봉사 횟수,자격증
(주)엘리드,3.99,708점,-,-,-,2.4개,1.5회,-,-,1회,"컴퓨터활용능력 3급, 화학분석기능사, 워드프로세서 2급, 위생사, 전산응용건축제도기능사"
㈜엘에스텍,3.49,-,-,IL,1개,1.9개,1.7회,-,1회,3회,"워드프로세서 2급, 컴퓨터활용능력 2급, 한식조리기능사, 한자 자격 시험, MOS"
(주)엘에이치,3.57,786점,IM3,IM3,1개,2.1개,1회,1.7회,1.9회,1.4회,"컴퓨터그래픽스운용기능사, 워드프로세서 1급, 웹디자인기능사, 정보처리기능사, MOS"
㈜엘엔아이소프트,3.61,936점,-,-,1개,1.7개,2회,1회,1회,-,"정보처리기사, 사무자동화산업기사, 워드프로세서 1급, SCJP, 무역영어"
(주)엘켐텍,3.75,703점,-,IM1,-,1.9개,1.3회,-,1회,1회,"워드프로세서 2급, 유통관리사, 전기공사기사, 전기기기기능사, 전기기능사"
㈜엠웍스,3.61,860점,-,-,-,2.1개,1회,-,-,-,"워드프로세서 1급, MOUS, 정보처리기사, 정보처리산업기사, 사무자동화산업기사"
엠케이프리시젼㈜,3.36,750점,-,IM1,1개,1.7개,1회,2회,2회,1.5회,"무선설비기사, 사무자동화산업기사, 수치제어선반기능사, 워드프로세서 1급, 정보기술자격(ITQ)인증시험"
㈜엠텔로,3.55,-,IM1,-,1개,2.6개,1회,-,1회,1회,"SCJP, 워드프로세서 1급, 정보처리기능사, 정보처리기사, 컴퓨터활용능력 2급"
(주)엠알바스,3.46,580점,-,-,-,1.9개,-,-,-,4회,"MOS, 건축배관기능사, 무선설비기사, 사무자동화산업기사, 워드프로세서 1급"
㈜여의시스템,3.37,790점,-,-,1개,2개,2회,3회,3회,1회,"워드프로세서 1급, 워드프로세서 2급, 정보처리기사, 무선설비기능사, 물류관리사"
㈜예선테크,3.66,-,-,IM2,1.2개,2개,1.5회,2회,2회,1.5회,"컴퓨터활용능력 2급, 워드프로세서 1급, 컴퓨터활용능력 3급, 품질경영기사, 컴퓨터그래픽스운용기능사"
㈜예스텔레콤,3.43,-,-,-,-,1.8개,1회,1회,-,3회,"컴퓨터활용능력 2급, 워드프로세서 1급, 워드프로세서 2급, 워드프로세서 3급, 컴퓨터활용능력 3급"
(주)예카뱅크,3.63,710점,-,-,-,2개,-,1.5회,1회,-,"워드프로세서 1급, OCP, SCJP, 리눅스마스터 2급, 전산세무 2급"
오닉스시스템,3.67,815점,-,-,-,1.8개,1회,-,2회,-,"도자기공예기능사, 무선설비기능사, 문서실무 3급, 워드프로세서 2급, 정보기기운용기능사"
오메가정보시스템㈜,3.51,-,-,-,1개,1.9개,-,-,-,-,"정보처리기사, 정보기기운용기능사, 사무자동화산업기사, 워드프로세서 1급, 컴퓨터활용능력 2급"
㈜오션이엔지,3.75,-,-,-,-,1.6개,1회,2회,-,1회,
㈜오스코텍,3.8,861점,-,AL,2개,1.6개,1.6회,-,4회,2회,"국제무역사 1급, 무역영어, 문서실무 2급, 방사성동위원소취급자일반면허(RI), 시각디자인기사"
(주)우대칼스,3.48,614점,-,-,1개,2.3개,1.3회,1회,1.5회,2회,"정보처리기사, 도시계획기사, 사무자동화산업기사, 정보처리기능사, 컴퓨터활용능력 2급"
우리로,3.37,628점,-,-,-,1.6개,1회,-,1회,-,"사무자동화산업기사, 실용영어, 워드프로세서 1급, 워드프로세서 2급, 자동차정비기능사"
(주)우리젠,3.57,-,-,-,1.5개,1.6개,1회,-,-,1회,"사무자동화산업기사, 전자기기기능사, 정보처리기사, ERP정보관리사 인사2급, ERP정보관리사 회계2급"
욱성화학(주),3.62,650점,IM3,-,-,2.3개,-,1회,-,4회,"가스기사, 금속재료시험기능사, 무선설비기능사, 무역영어, 비서 3급"
(주)원일산업,3.79,740점,-,-,1개,2.4개,1.5회,-,2회,2회,"가스산업기사, 지게차운전기능사, 컴퓨터활용능력 1급, 공정관리기사, 기능 검정원 및 강사"
원텍(주),3.58,776점,IH,IH,1개,2.2개,1.3회,-,3회,1회,"정보기술자격(ITQ)인증시험, 워드프로세서 1급, 워드프로세서 3급, 웹디자인기능사, 전기공사기사"
(주)월덱스,3.6,635점,-,IM2,1.5개,1.8개,1.5회,-,-,-,"전산응용기계제도기능사, 전자기기기능사, 정보처리기사, 기계조립기능사, 밀링기능사"
월드탑텍(주),3.33,-,-,-,-,3개,-,-,3회,1회,"수산식품가공기능사, 승강기기능사, 워드프로세서 3급, 전기공사기능사, 전기공사기사"
㈜웨이브일렉트로닉스,3.62,633점,-,IM1,1.5개,2개,1회,1회,-,1.5회,"정보기기운용기능사, 컴퓨터활용능력 3급, 워드프로세서 2급, 워드프로세서 3급, 전산회계운용사(전산회계사) 3급"
(주)웹브라이트,3.63,750점,-,-,1개,1.7개,1.3회,1.3회,1.5회,2.3회,"컴퓨터그래픽스운용기능사, MOS, MOUS, 한자능력검정, 정보처리기능사"
(주)위닉스정보,3.57,793점,IH,-,1개,1.9개,2회,-,1.8회,-,"정보처리기사, 리눅스마스터 2급, SCJP, 정보기기운용기능사, 정보기술자격(ITQ)인증시험"
한국수출입은행,3.66,832점,IH,IH,1.1개,2.3개,1.4회,1.8회,1.5회,1.8회,"MOS, 컴퓨터활용능력 2급, 워드프로세서 1급, 워드프로세서 2급, 컴퓨터활용능력 3급"
(주)위지언,3.66,640점,IM1,-,-,2.8개,1회,-,1.5회,2.3회,"정보처리기사, 워드프로세서 1급, 인터넷정보검색사 2급, 전기용접기능사, MOS"
(주)위트콤,3.54,890점,-,-,1개,1.9개,1.3회,-,1회,1회,"정보처리기사, 정보처리산업기사, 사무자동화산업기사, 실내건축산업기사, 워드프로세서 1급"
㈜위피아,3.55,827점,-,IM2,-,2.3개,1회,2회,1회,4회,"정보처리기사, 정보처리산업기사, 컴퓨터활용능력 2급, 워드프로세서 1급, 사무자동화산업기사"
(주)인콘,3.57,706점,-,IM1,1.5개,2.2개,1.2회,2.5회,1.5회,1.5회,"정보처리기사, 정보처리기능사, 워드프로세서 2급, 워드프로세서 3급, 워드프로세서 1급"
(주)윌비솔루션,3.35,726점,IM1,-,1.5개,2.2개,1.3회,1회,2회,1.7회,"정보처리기사, 정보처리기능사, 전자상거래관리사 2급, 정보기기운용기능사, 워드프로세서 2급"
㈜유경테크놀로지스,3.59,742점,-,-,1개,1.9개,1.7회,-,-,2회,"정보처리기사, 정보통신산업기사, 조경기능사, 측량기능사, 컴퓨터활용능력 2급"
유니램㈜,3.72,765점,-,IH,1개,3.4개,1회,1.5회,2회,2.3회,"전자계산기기능사, 전자기기기능사, MOS, 정보기기운용기능사, 정보처리기능사"
(주)유니온커뮤니티,3.53,707점,IM3,NH,1개,2.3개,1.3회,1.5회,2.2회,2.6회,"워드프로세서 1급, 정보처리기사, 컴퓨터그래픽스운용기능사, 컴퓨터활용능력 3급, 파생상품투자상담사"
㈜유니원컴퍼니,3.56,861점,IH,IM3,1개,1.8개,1.5회,2.3회,1.9회,3.3회,"MOS, 워드프로세서 1급, 정보처리기사, MOUS, 한자 자격 시험"
유니위스(주),3.64,758점,-,IL,1개,2개,1.1회,1회,1회,1회,"정보처리기사, 컴퓨터활용능력 2급, 정보처리산업기사, 워드프로세서 1급, 정보기기운용기능사"
유니챌(주),3.57,677점,IM3,IM1,1개,2.1개,1.1회,3회,2.6회,1회,"정보처리기사, SCJP, 워드프로세서 1급, 정보기기운용기능사, 컴퓨터활용능력 2급"
유니테스트,3.26,680점,IL,AL,1개,3.2개,1.5회,1회,1회,4회,"사무자동화산업기사, 정보처리기사, 정보처리산업기사, 정보통신산업기사, 컴퓨터활용능력 3급"
유비아이텍,3.32,-,-,-,1개,1.3개,1회,-,3회,2회,"정보처리기사, SCJP, 사무자동화산업기사, 인터넷정보검색사 1급, 정보처리산업기사"
(주)유비앤티스랩,3.55,-,-,-,-,2.4개,1.7회,-,-,-,"정보처리산업기사, SCJP, 사무자동화산업기사, 컴퓨터그래픽스운용기능사, 컴퓨터활용능력 1급"
㈜유소프테이션,3.58,838점,-,-,1개,2.1개,1회,1회,1회,1회,"정보처리기사, 워드프로세서 1급, SCJP, 인터넷정보검색사 2급, 일본어 능력시험(JLPT)"
(주)유클릭,3.63,758점,-,IL,1개,2.2개,1회,2회,1회,1회,"정보처리기사, 정보처리산업기사, 컴퓨터활용능력 2급, OCP, SCJP"
유한기술(주),3.51,837점,IM1,IH,1개,1.9개,1회,2회,1회,1회,"사무자동화산업기사, 산업안전기사, 건설안전산업기사, 워드프로세서 2급, 건설기계차체정비기능사"
(주)융진,3.45,-,-,-,1개,2개,1회,-,-,-,"워드프로세서 2급, 전기공사산업기사, 전산회계 2급, 정보기술자격(ITQ)인증시험, 컴퓨터활용능력 2급"
(주)은성일렉콤,3.66,-,-,-,-,2.6개,-,1회,-,-,"워드프로세서 2급, 워드프로세서 3급, 컴퓨터활용능력 2급, 컴퓨터활용능력 3급, 정보기기운용기능사"
㈜이글루코퍼레이션,3.55,759점,IH,IM2,1.1개,2.7개,1.2회,1.3회,2.3회,1.6회,"정보처리기사, CCNA, CCNP, CISSP, 리눅스마스터 2급"
이나루티앤티㈜,3.34,-,-,-,1개,3개,2회,-,-,-,"리눅스마스터 2급, 전산세무 2급, 전산회계 1급, 전산회계 2급, 정보기기운용기능사"
(주)이노셈코리아,3.48,646점,-,-,1개,2.2개,1.3회,-,-,1회,"전기공사기사, 전기기사, 전자기기기능사, 정보처리기능사, 컴퓨터활용능력 2급"
(주)이노시뮬레이션,3.5,-,IM1,-,1개,1.9개,1회,-,2회,2회,"전자계산기기능사, 워드프로세서 2급, 워드프로세서 1급, 전산응용기계제도기능사, 인터넷정보검색사 2급"
한국리스크관리(주),3.73,780점,AL,-,-,2.8개,1.5회,-,4회,1.5회,"워드프로세서 2급, 재무위험관리사(FRM), 정보기기운용기능사, 정보처리기사, 컴퓨터활용능력 2급"
(주)이씨마이너,3.63,640점,IM1,IL,1.5개,2.2개,1.3회,1회,1.5회,1.3회,"정보처리산업기사, 사회조사분석사 2급, 컴퓨터활용능력 2급, MOS, OCP"
㈜이우티이씨,3.64,735점,-,-,1개,2.4개,1회,1회,2회,2회,"지적산업기사, 측량및지형공간정보산업기사, MOS, SCJP, 정보처리기능사"
현대이지웰,3.59,780점,IH,IM3,1.3개,2개,1.2회,1.5회,1.5회,1.9회,"MOS, 정보처리기사, 컴퓨터활용능력 2급, 워드프로세서 1급, 워드프로세서 2급"
인버스,3.52,731점,IM1,IM1,1개,2.5개,1회,2회,1회,2회,"정보처리기사, 전산회계 1급, 워드프로세서 1급, 재경관리사, 사무자동화산업기사"
인소팩㈜,3.46,584점,IH,-,-,2.6개,1회,-,5회,3회,"MOS, 사무자동화산업기사, 워드프로세서 1급, 정보기기운용기능사, CCNA"
(주)인스밸리,3.67,707점,IM1,-,-,1.9개,1.1회,1회,1.7회,1.3회,"워드프로세서 2급, 컴퓨터활용능력 3급, 워드프로세서 1급, MOS, 컴퓨터활용능력 1급"
인지에이엠티㈜,3.34,800점,-,-,-,1.9개,1회,-,-,2회,"워드프로세서 2급, 전자기기기능사, 무선설비기능사, 정보처리기능사, 정보처리기사"
인천화학(주),3.5,790점,-,-,1개,1.7개,1회,-,-,3회,
㈜인터데브,3.71,755점,-,-,1개,2.1개,1.6회,-,1회,1회,"정보처리기사, OCP, MCP, SCJP, 컴퓨터활용능력 1급"
㈜인터메이저,3.69,624점,-,-,1개,1.8개,1회,1회,1.7회,2.5회,"컴퓨터그래픽스운용기능사, 정보처리기사, 정보처리산업기사, 정보처리기능사, SCJP"
(주)인터페이스정보기술,3.51,400점,-,-,1개,2개,1회,1회,1회,1회,"컴퓨터활용능력 2급, MOS, 워드프로세서 2급, 정보처리기사, 정보처리산업기사"
(주)인트론바이오테크놀로지,3.7,741점,IH,IH,1개,1.6개,1.1회,-,1회,1회,"MOS, 사무자동화산업기사, 워드프로세서 2급, 재경관리사, 전기용접기능사"
㈜인트정보시스템,3.33,770점,-,-,1개,2.5개,1.3회,-,1회,-,"정보처리기사, 정보처리산업기사, CCNA, SCJP, 정보처리기능사"
인포뱅크(주),3.41,775점,IM3,IM2,1개,2.2개,1.3회,1.1회,1.4회,1.5회,"정보처리기사, SCJP, 정보처리산업기사, 사무자동화산업기사, 워드프로세서 1급"
일신이디아이(주),3.34,-,-,-,-,2.1개,-,3회,1회,1회,"전자기기기능사, 정보기기운용기능사, 정보처리기능사, 정보통신산업기사, 컴퓨터활용능력 3급"
(주)임픽스,3.57,620점,-,-,1개,2.3개,1회,2.5회,1.5회,1회,"워드프로세서 1급, 컴퓨터활용능력 2급, 정보기술자격(ITQ)인증시험, 정보처리기능사, 워드프로세서 2급"
(주)정도유아이티,3.59,787점,-,-,1.7개,1.9개,1.3회,1회,2회,-,"워드프로세서 2급, 전산회계 1급, 워드프로세서 1급, 전산세무 2급, 정보기기운용기능사"
㈜정보보호기술,3.64,676점,-,-,1개,1.8개,1.2회,-,-,-,"정보처리기사, 정보처리산업기사, 사무자동화산업기사, 워드프로세서 1급, 정보기술자격(ITQ)인증시험"
(주)정설시스템,3.68,675점,-,IM2,-,1.6개,1회,-,-,2회,"밀링기능사, 워드프로세서 2급, 워드프로세서 3급, 인터넷정보검색사 2급, MOS"
(주)제니스월드,3.35,735점,-,-,-,1.7개,-,-,-,1회,"수치제어선반기능사, 정보기기운용기능사, 워드프로세서 2급, 컴퓨터활용능력 2급, 컴퓨터활용능력 3급"
(주)제이앤엘테크,3.89,-,-,-,1개,1.8개,1.5회,1회,-,1.5회,"기계설계산업기사, 메카트로닉스산업기사, 사무자동화산업기사, 선반기능사, 워드프로세서 3급"
(주)제이오,3.31,-,-,-,-,2.4개,1.3회,-,1회,-,"방사선비파괴검사기능사, 수치제어선반기능사, 정보기기운용기능사, 한자 자격 시험, MOS"
㈜제이컴정보,3.56,640점,IH,-,1.3개,2.6개,1회,1.3회,3회,1회,"정보처리기사, CISSP, SCJP, CCNA, 컴퓨터활용능력 2급"
(주)제이테크놀러지,3.44,-,-,-,-,1.7개,-,-,-,-,"전자기기기능사, 정보기기운용기능사, 컴퓨터활용능력 3급, 워드프로세서 2급, 전기용접기능사"
(주)젠솔소프트,3.41,735점,-,-,-,2.5개,1회,-,-,1회,"정보처리기사, 워드프로세서 1급, 사무자동화산업기사, 컴퓨터그래픽스운용기능사, 컴퓨터활용능력 2급"
㈜조은시스템,3.55,692점,IM3,-,1개,2개,1.3회,1.5회,1.5회,2.1회,"워드프로세서 1급, 정보기기운용기능사, 워드프로세서 2급, 정보처리기능사, 컴퓨터활용능력 2급"
(주)더좋은,3.57,645점,-,-,-,3.1개,5회,1.3회,1회,2.5회,"워드프로세서 2급, 컴퓨터그래픽스운용기능사, 한식조리기능사, ITQ 아래한글, ITQ 한글파워포인트"
중앙아이엔티(주),3.34,-,-,-,-,2개,-,4회,-,-,"승강기기능사, 전기공사기능사, 전기기능사, 컴퓨터그래픽스운용기능사, 통신선로기능사"
(주)지멤스,3.51,768점,AL,IL,-,1.9개,1회,1회,-,-,"워드프로세서 1급, 컴퓨터활용능력 3급, MOS, 워드프로세서 2급, 전산회계운용사(전산회계사) 3급"
(주)지앤비아이텍,3.62,-,-,-,1개,2개,1.5회,-,-,-,"SCJP, 리눅스마스터 2급, 정보처리기사, 정보처리산업기사, CCNA"
(주)지앤지커머스,3.58,743점,IM2,-,1개,2.3개,1회,1회,1회,2.5회,"정보처리산업기사, 공인중개사, 컴퓨터활용능력 2급, 컴퓨터활용능력 3급, FAT(회계정보처리) 1급"
㈜지오네트,3.38,795점,-,IM3,-,2.5개,-,1회,-,1회,"사무자동화산업기사, 전산회계 1급, 컴퓨터활용능력 3급, MOS, 전기공사기능사"
㈜지오매틱코리아,3.79,700점,-,-,-,1.6개,1회,-,3회,2회,"컴퓨터활용능력 2급, 토목기사, AutoCAD 2급 기술자격시험, MOS, 건설재료시험기능사"
우양에이치씨(주),3.5,692점,-,IM1,1개,2.1개,1회,1회,2.3회,3.3회,"기계설계산업기사, 사무자동화산업기사, 전산응용기계제도기능사, 전기용접기능사, 전산세무 2급"
(주)지오소프트,3.67,720점,-,IL,1개,3개,1회,1회,3회,1.5회,"정보처리기사, 정보처리산업기사, 일본어 능력시험(JLPT), 정보처리기능사, 자동차정비기능사"
(주)지오시스템리서치,3.68,-,-,IL,-,2.7개,1회,-,-,-,"워드프로세서 1급, 정보기기운용기능사, 컴퓨터활용능력 2급, MOS, 전산회계 1급"
(주)지오씨엔아이,3.62,-,-,-,-,1.9개,1회,2회,4회,1.5회,"정보처리기사, 워드프로세서 1급, 컴퓨터활용능력 2급, 워드프로세서 3급, 전산응용기계제도기능사"
(주)진우엔지니어링,3.57,638점,-,-,1개,1.5개,1회,-,-,-,"기계조립기능사, 밀링기능사, 생산자동화산업기사, 수치제어선반기능사, 워드프로세서 1급"
(주)와이즈씨앤에스,3.7,838점,NM/NL,-,1.3개,1.8개,1.4회,1.7회,1회,1.8회,"컴퓨터그래픽스운용기능사, 정보기기운용기능사, 사무자동화산업기사, MOS, 사회조사분석사 2급"
진코퍼레이션,3.63,698점,-,-,1개,2.4개,1회,1.8회,2.4회,1.6회,"워드프로세서 1급, 정보기기운용기능사, 정보처리기사, 컴퓨터그래픽스운용기능사, 정보처리산업기사"
(주)청파이엠티,3.73,792점,IH,IL,1.3개,2개,1.5회,-,1.5회,2.5회,"사무자동화산업기사, 정보기기운용기능사, 전자기기기능사, 전자산업기사, 전자캐드기능사"
(주)카이네스,3.52,615점,-,-,-,2.6개,1회,-,-,3회,"정보처리기사, 측량및지형공간정보산업기사, OCP, 지도제작기능사, 정보기술자격(ITQ)인증시험"
(주)컴버스테크,3.47,-,-,-,-,2.3개,-,1회,1회,-,"워드프로세서 1급, 전산회계운용사(전산회계사) 3급, 정보기술자격(ITQ)인증시험, 컴퓨터활용능력 2급, 사무자동화산업기사"
(주)컴씨스,3.67,706점,IM1,-,1.5개,1.8개,1.4회,2회,1회,1회,"전자기기기능사, 컴퓨터활용능력 2급, 한자급수자격시험, TOEIC, 정보기기운용기능사"
(주)컴아트시스템,3.67,910점,IH,IM2,-,2.3개,2회,-,2회,1회,"사무자동화산업기사, 전자기기기능사, 컴퓨터활용능력 2급, 한식조리기능사, ERP정보관리사 회계2급"
㈜케이사인,3.76,505점,IH,-,1.5개,1.9개,1.5회,-,1회,1회,"정보처리기사, 정보처리산업기사, 워드프로세서 1급, 컴퓨터활용능력 2급, 정보기기운용기능사"
(주)케이씨아이,3.71,833점,-,IH,1개,2.3개,1회,1회,1회,1회,"워드프로세서 1급, 워드프로세서 3급, 전기공사기능사, 전기기기기능사, 정보기기운용기능사"
(주)케이포엠,3.7,-,IL,-,-,2.2개,1회,3회,2.3회,2회,"정보처리기사, 워드프로세서 1급, 워드프로세서 2급, 정보처리산업기사, 컴퓨터활용능력 2급"
(주)켐옵틱스,3.16,740점,-,-,-,2.1개,-,2회,-,-,"자동차정비기능사, 건축도장기능사, 전자기기기능사, 정보기기운용기능사, 정보처리산업기사"
(주)켐포트,3.7,-,-,-,-,1.9개,1.5회,2회,1회,1.3회,"워드프로세서 1급, 정보검색사 3급, 정보기기운용기능사, 특수용접기능사, 건설기계기관정비기능사"
(주)코드바이오,3.93,-,-,AL,-,2.2개,2회,1회,-,2회,"영양사, 위생사, 중등학교정교사, 한식조리기능사, MOS"
(주)셀루메드,3.62,680점,-,-,1개,2.1개,1회,1회,1회,2회,"전산회계 1급, 전산회계 2급, 워드프로세서 2급, 인터넷정보검색사 2급, 자동차정비기능사"
㈜코리아컴퓨터,3.95,568점,-,IL,-,1.9개,1.5회,-,1회,2회,"정보처리기사, 정보처리산업기사, 컴퓨터활용능력 2급, 워드프로세서 1급, 워드프로세서 2급"
(주)코아뱅크,3.76,-,-,NH,1개,1.6개,1회,1회,1회,1회,"정보처리기사, 정보처리기능사, SCJP, 정보검색사 2급, 정보처리산업기사"
(주)코어트러스트,3.69,570점,-,-,2개,2개,1회,1회,1회,1회,"워드프로세서 1급, 정보처리기능사, 전산회계 1급, 전산회계운용사(전산회계사) 2급, 정보기술자격(ITQ)인증시험"
(주)코웰메디,3.37,610점,-,-,1개,2.2개,1.2회,3회,-,1회,"정보처리기능사, 정보처리기사, 컴퓨터그래픽스운용기능사, 컴퓨터활용능력 2급, 텔레마케팅관리사"
㈜큐빅웨이브,3.55,702점,IM1,IM2,1개,2.2개,1회,-,1회,1회,"정보처리기사, 정보처리산업기사, 정보기기운용기능사, 정보처리기능사, 워드프로세서 1급"
(주)크래비스,3.38,760점,-,-,1개,1.9개,-,-,1.5회,2회,"정보처리기사, MOS, MOUS, 컴퓨터활용능력 2급, 환경기능사"
㈜크레디프,3.71,723점,-,-,1.3개,2.6개,1.2회,-,2.5회,1회,"워드프로세서 2급, 정보기기운용기능사, 정보처리기사, 정보처리산업기사, 정보통신기사"
(주)클립컴,3.53,867점,IH,-,1개,1.6개,1.2회,-,-,2회,"워드프로세서 3급, MOUS, 기계조립기능사, 무선설비기사, 워드프로세서 1급"
(주)코렌텍,3.51,590점,-,-,-,2.6개,2회,3회,1.3회,2회,"기계조립산업기사, 사무자동화산업기사, 수치제어밀링기능사, 승강기기능사, 워드프로세서 1급"
(주)커미조아,3.87,763점,-,IL,-,2.4개,1회,-,2회,1회,"정보처리기사, 컴퓨터활용능력 2급, CCNA, MCP, 네트워크관리사 2급"
(주)케이씨이아이,3.57,638점,-,-,1개,2.2개,1.5회,2회,1회,-,"워드프로세서 1급, 정보처리기사, MOS, 컴퓨터그래픽스운용기능사, 컴퓨터활용능력 1급"
천열에너지㈜,3.2,560점,-,-,-,2.3개,1회,-,-,-,"굴삭기운전기능사, 기계설계산업기사, 소방설비기사(기계분야), 소방설비기사(전기분야), 워드프로세서 2급"
㈜은하푸드웰,3.94,-,-,-,-,2.8개,-,1회,-,2회,"위생사, 한식조리기능사, 워드프로세서 1급, 컴퓨터활용능력 2급, 식품기사"
케이엠아이시스템(주),3.79,740점,-,-,1개,1.7개,1회,-,-,-,"무선설비기사, 수치제어밀링기능사, 수치제어선반기능사, 新 JLPT N2급, 워드프로세서 2급"
코리아테크노(주),3.2,805점,AL,-,1개,1.6개,1.2회,-,-,-,"컴퓨터활용능력 2급, 컴퓨터활용능력 3급, 한자 자격 시험, 수치제어밀링기능사, 수치제어선반기능사"
코스텍시스템(주),3.47,-,-,-,-,2개,-,1회,1회,-,"MOS, 밀링기능사, 사무자동화산업기사, 워드프로세서 2급, 워드프로세서 3급"
(주)태연메디칼,3.44,835점,-,-,-,2.4개,1회,1회,-,2회,"워드프로세서 1급, 워드프로세서 2급, 재경관리사, 전산세무 2급, 전산응용가공산업기사"
(주)태조엔지니어링,3.86,742점,IH,IH,1.3개,2.3개,-,-,-,1회,"토목기사, 전산회계 1급, 정보기술자격(ITQ)인증시험, 토목산업기사, 건설재료시험기능사"
(주)태진기술,3.71,759점,-,IM2,1개,2.7개,1.3회,-,-,-,"워드프로세서 1급, 전자계산기기능사, 전자기기기능사, 정보처리기사, MOS"
㈜맥시우스,3.53,872점,-,-,1개,2.2개,2.3회,3회,1.3회,2.3회,"리눅스마스터 2급, 네트워크관리사 2급, 정보기기운용기능사, 정보처리기능사, 정보처리기사"
(주)테크라인,3.53,703점,-,-,-,2.9개,1.5회,1회,-,2회,"유통관리사, 기계설계산업기사, 전산응용기계제도기능사, 정보처리기사, 증권투자상담사"
(주)텔레웍스,3.61,663점,IM3,-,1.3개,1.9개,1.3회,1.5회,2회,1.2회,"정보처리기사, 워드프로세서 1급, 정보처리산업기사, 사무자동화산업기사, 정보처리기능사"
(주)텔레필드,3.51,732점,IH,-,1개,2.4개,1.3회,-,2회,1.5회,"사무자동화산업기사, 정보처리기능사, 컴퓨터활용능력 2급, 한자 자격 시험, 정보처리기사"
(주)투루텍,3.76,747점,-,-,-,2.7개,1.5회,-,1회,-,"사무자동화산업기사, 워드프로세서 1급, 정보처리기사, OCP, SCJP"
(주)투윈스컴,3.36,455점,-,-,1개,1.9개,1회,4회,3회,1회,"전자기기기능사, 컴퓨터활용능력 2급, 워드프로세서 2급, 승강기기능사, 전기기능사"
(주)트리포스,3.5,-,-,-,-,2.3개,1회,-,-,-,"정보처리기사, 컴퓨터그래픽스운용기능사, 컴퓨터활용능력 2급, 정보처리산업기사, MCDBA"
(주)티아이스퀘어,3.44,843점,-,IM3,1개,2.5개,1회,-,1.7회,1회,"정보처리기사, 워드프로세서 1급, 정보기기운용기능사, SCJP, SCNA"
(주)티아이티이엔지,3.74,695점,IH,IM3,2개,2.2개,1.3회,1회,1회,2.5회,"워드프로세서 1급, 정보처리산업기사, 컴퓨터활용능력 2급, 한자 자격 시험, E-Test(e-Professionals)"
㈜티앤엘,3.26,564점,IH,-,1개,1.8개,1회,1회,-,-,"건축도장기능사, 메카트로닉스산업기사, 산업전자기기제작사, 생산자동화산업기사, 승강기기능사"
(주)자이트솔루션,3.44,646점,-,-,1개,2.5개,1.5회,2회,-,1.5회,"정보처리기사, 정보처리산업기사, 리눅스마스터 2급, OCP, SCJP"
㈜파네즈,3.53,740점,-,IM3,-,2.2개,1회,-,1회,-,"정보처리산업기사, 컴퓨터그래픽스운용기능사, 컴퓨터활용능력 1급, MOS, OCP"
(주)파마킹,3.39,833점,IH,IM2,-,1.9개,1회,1.5회,-,1회,"MOS, MOUS, 워드프로세서 1급, 워드프로세서 2급, 워드프로세서 3급"
(주)파슨텍,3.75,-,-,-,1개,2.1개,-,-,-,4회,"정보처리기사, SCJP, 컴퓨터활용능력 2급, 한자 자격 시험, 항공전자정비기능사"
(주)파이맥스,3.53,696점,-,-,1.5개,2.2개,1.8회,2회,1회,1.8회,"컴퓨터활용능력 2급, MOS, 무선설비기사, 사무자동화산업기사, 수치제어밀링기능사"
(주)파인원커뮤니케이션즈,3.59,582점,IM1,IM1,1.1개,1.9개,1.4회,1회,1.8회,1.9회,"정보처리기사, 정보처리산업기사, 워드프로세서 1급, SCJP, 리눅스마스터 2급"
㈜엑서지21,3.49,-,-,IH,1개,2.1개,1.3회,-,1회,3회,"워드프로세서 1급, 워드프로세서 2급, 워드프로세서 3급, 전산회계 1급, 정보기술자격(ITQ)인증시험"
㈜포스토피아,3.7,840점,IH,-,1개,2개,1회,1회,1회,1.3회,"정보기기운용기능사, 워드프로세서 1급, 워드프로세서 2급, 컴퓨터활용능력 2급, 컴퓨터활용능력 3급"
(주)포에프,3.53,725점,-,-,1개,2.4개,1.4회,-,-,-,"사무자동화산업기사, 생산자동화산업기사, 인터넷정보검색사 2급, 정보기기운용기능사, 정보처리기사"
포인트임플란트㈜,3.6,785점,-,-,1개,2.3개,1.6회,1회,2회,2.5회,"워드프로세서 2급, 워드프로세서 1급, 컴퓨터활용능력 2급, 컴퓨터활용능력 3급, MOS"
(주)폴리큐브,3.36,698점,-,IM2,1개,2.1개,1회,2.3회,2.7회,1.7회,"정보처리기사, 워드프로세서 2급, 워드프로세서 1급, 리눅스마스터 2급, 정보처리산업기사"
(주)푸른기술,3.71,788점,IM1,-,1개,1.4개,1.5회,-,3회,1회,"정보처리기사, 컴퓨터활용능력 3급, 품질경영기사, 한자 자격 시험, 관광통역안내사"
㈜퓨전소프트,3.45,618점,-,-,1개,2.4개,1회,-,-,-,"정보처리기사, 정보기기운용기능사, 정보기술자격(ITQ)인증시험, 정보처리산업기사, 컴퓨터활용능력 2급"
(주)퓨쳐시스템,3.61,568점,-,IM1,1.3개,2.1개,1.3회,1.5회,1.6회,1.7회,"정보처리기사, CCNA, 워드프로세서 1급, CCNP, MOS"
